Cocktail,Ingredients,Preparation,Bar/Company,Location
Blue 88," No.3 London Dry Gin,  Lemon Juice,  Pages Elderflower Syrup,  Tempus Fugit Liqueur de Violettes,  Luxardo Maraschino Liqueur",Shake well with lots of ice. Strain into cocktail glass.,,
Cherries St. James," No.3 London Dry Gin,  Lemon Juice,  Pages Elderflower Syrup,  Luxardo Sangue Morlacco Cherry Liqueur,  Luxardo Maraschino Liqueur",Shake well with lots of ice. Strain into cocktail glass.,,
Bachelor's Bait," Junipero Gin, Grapefruit Shrub, Orange Bitters, Grenadine, 1  Egg White",Shake with cracked ice and strain into a chilled cocktail glass.,The Sipologist,
Boomin' Granny," H by HINE, Granny Smith Apple Juice,  Fresh Lime Juice,  Acacia Honey Syrup,  top Sparkling Wine",Shake with ice and fine strain into a champagne flute. Top with sparkling wine and garnish with Granny Smith Apple fan.,Death & Co.,New York
Basilway Daquiri," Basil-Infused White Rum,  King's Ginger Liqueur,  Fresh Lime Juice,  Luxardo Maraschino Liqueur, 1 bsp, large Grapefruit Sorbet",Shake with ice and single strain into a coupe glass. Garnish with basil leaf.,Backbar,Somerville
The Pink Pussycat," Pink Pigeon Rum,  FAIR Goji Berry Liqueur,  Noyeau de Poissy  B,  Cream, Chocolate bitters",Shake with ice and strain into a coupe glass. Garnish with a toasted marshmallow,,Boston
Double Trouble," Junipero Gin, Strawberry & Black Pepper Shrub*,  Hidalgo La Gitana Manzanilla Sherry,  Lemon Juice , few drops Peychaud's Bitters","Shake with ice and strain into a footed pilsner glass. Add a few drops of bitters. Garnish with a mint leaf.   *Strawberry & Black Pepper Shrub: -- 1 cup Sliced Strawberries -- 1 cup Granulated Sugar -- 1 cup Champagne Vinegar -- 1 handful of Black Balinese Peppers  Combine all ingredients in a medium bowl. Using a potato masher or a wooden spoon, mash the berries so they release their juices. Stir until the sugar has mostly dissolved and refrigerate overnight. The next day, remove the mixture to a saucepan and heat gently over medium-low heat. Do not bring to a simmer--you simply want to heat the mixture to coax the sugar to dissolve. Strain the shrub through a fine mesh strainer. If desired, strain again through a coffee filter. Refrigerate.",The Treasury,San Francisco
Yawkey Way ," No.3 London Dry Gin,  Smith & Cross,  Strawberry juice,  Black tea syrup,  Lemon juice, 2 dashes Orange bitters",Shake with ice and strain into an ice-filled collins glass.,,San Francisco
Cream of the Crop," Mezcal, King's Ginger Liqueur,  Coconut Pistachio Puree*,  Lemon Juice","Shake with ice in a mixing glass for about 15 seconds to properly chill. Double strain into a small fizz glass over ice.  *Coconut Pistachio Puree: -- .5 lb Pistachios (toasted) -- 1.5 lbs Sugar (144 oz.) -- 11 oz Coconut Milk -- 13 oz Water -- 1 tsp Salt  Toast the pistachios at 250°F for 20 mins. Remove and put in a blender with sugar until well chopped. Combine all the ingredients in a pot and bring to a boil. Let simmer for 20 mins and then remove from the heat. Let cool and place in a large container. Let the mixture sit overnight then strain out the solids. Save the solids to spin in the ice cream maker (if you have one). Spin the solids and add the mixture back into the puree via chinois. Bottle, label and date the syrup (it will keep indefinitely if you freeze it).",Dirty Habit,San Francisco
Hemingway Daiquiri," Pink Pigeon Rum,  Fresh Lime Juice,  Fresh Grapefruit Juice,  Luxardo Maraschino Liqueur",Shake with ice in a mixing tin and double strain into a chilled cocktail coupe. Garnish with a grapefruit twist.,,
Amaretto Sour (Modern)," Luxardo Amaretto di Saschira, Fresh Squeezed Lemon Juice,  Pasteurized Egg White, scoop Lemon Sorbet",Shake with ice to mix and emulsify. Strain into a chilled old fashioned glass filled with ice. Garnish with Luxardo Maraschino Cherries and fresh lemon zest.,,
Amaretto Sour," Luxardo Amaretto di Saschira, Fresh Lemon Juice,  Simple Syrup,  Egg White",Shake with ice to mix and emulsify. Strain into a chilled old fashioned glass filled with ice. Garnish with Luxardo Maraschino Cherries and fresh lemon zest.,,
Red Letters," Bols Genever,  Luxardo Maraschino Liqueur,  Absinthe,  Lime Juice","Shake with ice, strain and pour into a chilled martini glass.",,
Almond Brother," Reposado Tequila,  Luxardo Amaretto di Saschira, Luxardo Apricot Liqueur,  Lime Juice,  Luxardo Orgeat Syrup,  Maple Syrup","Shake with ice, strain into a coupe. No garnish.",,
French 33," No.3 London Dry Gin,  Simple syrup,  Lime juice","Shake with ice, strain into flute, top with sparkling rose and a grapefruit twist.",,
20th Century," No.3 London Dry Gin,  Tempus Fugit Kina L'Aero d'Or,  Tempus Fugit Creme de Cacao,  Fresh Lemon Juice",Shake with ice. Strain into a chilled cocktail glass.,,
The Seniorita," The Genuine Curacao Liqueur Orange,  Lime Juice, Thai Coconut Milk, Angostura Bitters, Gosslings 151 Rum",Shake with ice. Strain into rocks glass and top with crushed ice. Float 1 oz. of Gosslings 151 rum on top.  Garnish with mint and Luxardo Maraschino Cherries.,,
Champs Élysées," H by HINE,  Lemon juice,  Green Chartreuse,  Simple syrup, Angostura bitters",Shake with intent. Double strain in coupe. Garnish with lemon wheel.,Urchin Bistrot,San Francisco
The Double Crown," Compass Box Great King Street Glasgow Blend,  Lemon Juice,  Cyril Zangs Double Zero Eau de Vie de Cidre,  King's Ginger Liqueur,  Honey Syrup, 1  Egg White","Shake without ice, add ice and shake again then fine strain into a chilled egg coupe. Garnish with a Sage leaf.",PDT,New York
Flip the Bird," Pink Pigeon Rum,  Simple syrup,  Cream,  Punt e Mes, 1  Egg yolk","Shake without ice, to whip and emulsify ingredients until frothy. Add ice to shaker and shake vigorously. Strain into port glass or small fluted glass. Garnish with shaved cinnamon or nutmeg. ",,Los Angeles
Mauritius Sour," Pink Pigeon Rum,  Hirsch Small Batch Reserve Bourbon,  Angostura Bitters,  Lemon Juice,  Simple Syrup","Shake, and fine strain into a chilled coupe, and garnish with a Luxardo Cherry.",,
I'm Only Happy when it Rains,"1 Old Potrero Straight Rye Whiskey, Hirsh Pinot Noir Reduction, Luxardo Sangue Morlacco Cherry Liqueur, Lemon Juice ","Shake, double strain into a Burgundy Glass.",Michael Mina Restaurant Group,San Francisco
Monet," H by HINE, BenRiach Madeira 15 YO,  Lemon Juice,  Briottet Creme de Banane,  Small Hand Foods Pineapple Gum Syrup","Shake, fine strain into a chilled coupe. Garnish with lemon twist.",The Forgery,San Francisco
Hippi Hill," Hophead Vodka,  King's Ginger Liqueur,  Lime Juice,  Cranberry Juice","Shake, fine strain into chilled coupe. Garnish with lime wheel.",Comstock Saloon,San Francisco
Buster Crusta," H by HINE, Lemon Juice,  The Genuine Curacao Liqueur Orange,  Luxardo Maraschino Liqueur,  Small Hand Foods Gum Syrup, Luxardo Fernet","Shake, fine strain into chilled frosted coupe, float Fernet.",ABV,San Francisco
Bird On," Tempus Fugit Creme de Menthe Glaciale,  Tempus Fugit Alessio Vermouth Bianco,  H by HINE,  Lemon Juice,  Lime Juice","Shake, serve on the rocks, garnish with a lemon wedge.",Small Victory,Austin
Iron Tonic," Luxardo Maraschino Liqueur,  Genepy,  Luxardo Fernet,  Lime Juice, Tonic Water","Shake, strain into a chilled coupe, float tonic water.",Beretta,San Francisco
King's Medicine," King's Ginger Liqueur,  Lemon Juice,  Luxardo Fernet,  BenRiach Curiositas Single Malt 10 YO","Shake, strain into a chilled coupe. Garnish with lemon twist.",Blackbird,San Francisco
Where's the Orgeat?," H by HINE, Small Hand Foods Orgeat,  Lemon Juice,  Luxardo Apricot Liqueur, Angostura Bitters","Shake, strain into a chilled coupe. Garnish with lemon twist.",ABV,San Francisco
Fortune & Glory," Chinaco Reposado Tequila, Lime Juice,  H by HINE,  Small Hand Foods Orgeat,  Falernum, Mole Bitters","Shake, strain into a chilled coupe. Garnish with lime wheel.",Rickhouse,San Francisco
Pisco Punch (Adaptation by The Comstock Saloon)," BarSol Selecto Italia Pisco,  Small Hand Foods Pineapple Gum Syrup,  Lemon Juice, Kaffir Tincture","Shake, strain into a chilled flip glass with one cube. Garnish with lemon peel.",Comstock Saloon,San Francisco
Cupid's Carrier Pigeon," No.3 London Dry Gin, Velvet Falernum,  Pink Pigeon Rum, Unfiltered Apple Juice, Lime juice, Angostura bitters","Shake, strain into a Tiki glass over crushed ice and garnish with a large sprig of mint.  ",,
The Fall 75," Junipero Gin, Spiced kuri squash purée*, Fresh lemon, Honey syrup","Shake, strain into coupe glass. Top with sparkling wine and a sprig of lemon balm.",The Gin Joint,Charleston
Kentucky Mai Tai," Mezcal, Bourbon,  Lemon,  Peche de Vigne,  Cynar,  Orgeat, Angostura Bitters","Shake, strain over crushed ice in a highball. Garnish with a mint sprig and a cherry.",Ace Hotel,Los Angeles
Drink Lab #16," Brandy,  Orgeat,  Luxardo Sangue Morlacco Cherry Liqueur,  Lemon Juice, Bittermens Burlesque Bitters","Shake, strain, lemon twist garnish.",,
Grey Anchor," Hophead Vodka,  Lime Juice,  St. Germaine Elderflower Liqueur,  Luxardo Maraschino Liqueur, Bittercube Door County Hop Bitters","Shake, strain, up, garnish.",,
Pumpkin & Pecan," H by HINE,  Toasted Pecan Syrup,  Lemon Juice,  Cynar, Spiced Pumpkin Butter, Cinnamon Tincture",Shake. Double strain. King cube. Orange peel garnish,Mourad,San Francisco
The Red Anchor," Junipero Gin,  Lemon Juice,  Grapefruit Juice,  Tempus Fugit Kina L'Aero d'Or,  Ginger Syrup,  Simple Syrup (1.5 : 1)",Shake. Serve in small rocks glass with no ice. Grapefruit slice to garnish.,,
Holland House," Genever, Luxardo Maraschino Liqueur,  Dry Vermouth,  Lemon Juice,  Pineapple Gomme Syrup",Shake. Serve up. Garnish with lemon peel/pineapple.,Union Lodge No.1,Denver
Last Samurai," Vodka, Gin, Luxardo Maraschino Liqueur,  Cointreau",Shake. Serve up. Garnish with lime wheel.,Mizu Izakaya,Denver
Long Division," Tequila, Luxardo Maraschino Liqueur,  Aperol,  Lime Juice",Shake. Serve up. Top with sparkling rose. Garnish with lime peel.,Departure,Denver
Sidecar," HINE Rare VSOP,  Mathilde Orange XO Liqueur,  Lemon Juice, Demerara Syrup (2:1)",Shake. Strain into a coupe. Garnish with a lime twist.,Biltong Bar,Atlanta
Spiced Marmalade," Junipero Gin, Orange marmalade,  Lemon juice, Orange juice,  Simple syrup, Orange bitters, 4  Cloves torched & muddled",shake/2strain/coupe  garnish lemon twist,,
Mezcal Witch," Mezcal,  Lime,  Strega,  Simple Syrup, 3-4  Cucumbers muddled, 3-4  Mint leaves, 1 pinch Salt",shake/2xstrain/coupe  garnish cucumber slice,,
Italian Margarita," Maestro Dobel Diamante Tequila,  Luxardo Amaretto di Saschira, Fresh Lime Juice,  Monin Cane Syrup",Shaken and served over ice.,Grimaldi's Pizzeria,
A Bloody Shame," Vodka,  Luxardo Amaretto di Saschira,  Blood Orange Vanilla Mint Puree*,  Lime Juice","Shaken and strained into a large coupe. Garnish with a dehydrated lime wheel soaked in Angostura Bitters.  *Blood Orange Vanilla Mint Puree: -- 1 container Boiron Blood Orange Puree (34 oz.) -- 39 grams Mint (stems and leaves) -- 1 tsp Vanilla Extract -- 30 oz White Sugar  Combine all the ingredients except the mint in a pot.  Bring to a light simmer, stirring to incorporate everything. Then add the mint and cook for 5 minutes, then remove the pot from the heat and strain through a chinois to remove the mint. Label and date a container, then place in your fridge. Use within a week.",Dirty Habit,San Francisco
Full of Bologna," C. Drouin Calvados Selection, Luxardo Amaro Abano,  Pear Watercress Puree,  Lemon Juice",Shaken and strained into a large coupe. Mint oil is house-made and used as a garnish.,Dirty Habit,San Francisco
Donaji," Mezcal,  Fresh Lemon Juice,  Fresh Lime Juice,  Agave Nectar","Shaken and strained over ice in a rocks glass.  *Chapuline, Salt & Chile Pepper Rim: Grind the chapuline  (dried crickets) and dried chile pepper in a mortar and pestle, as it becomes a powder, throw in the salt and pour onto a plate. Use a fresh lime wedge to moisten the rim of the glass and dip into the powder.",,
Monkey Gland," No.3 London Dry Gin, Orange juice,  Grenadine, Duplais Swiss Absinthe Blanche",Shaken and strained. Orange peel garnish.,,
You Go Glen Coco," Old Potrero Straight Rye Whiskey (Toasted Coconut Infused)*,  King's Ginger Liqueur, Turmeric Coconut Cream**","Shaken slightly. Served over shaved ice in an old fashioned glass. Garnished with turmeric toasted coconut flakes.  *Toasted Coconut Infused Old Potrero -- 750ml Old Potrero Straight Rye Whiskey -- 2.5 oz Toasted Coconut  Combine all ingredients in a clean container and let sit for 8 hours. Strain through cheesecloth and then funnel back into your Old Potrero bottles. Keeps indefinitely.  **Turmeric Coconut Cream: -- 12 g Fresh Turmeric -- 1 c Water -- 1 c Honey -- 3 tsp Black Pepper -- 12 oz Coconut Milk  Grate fresh turmeric into 1 cup water. Bring to a boil, add 1 cup of honey and stir. Remove from heat and let the mix sit for 1:30 hours. Strain out turmeric and add 3 tsp. ground black pepper. Add 12 oz. coconut milk and stir. Place in an airtight container and keep in the fridge. Use within a week.",Dirty Habit,San Francisco
Just Beet It," Junipero Gin, Beet Thyme Reduction*,  Licor 43,  Lemon Juice, .5  Egg White","Shaken without ice, then with ice and strained into a large coupe. Garnished with candied thyme.  *Beet Thyme Reduction -- 520 grams raw beets  -- 344 grams honey -- 2 oranges peeled (just the peels) -- 2 sprigs of thyme -- pinch of salt  Juice beets, add honey and let dissolve and cook for 15 mins.  Add thyme and simmer for 5 more mins.  Strain through a chinois into a container and then place in the fridge. This makes 1 quart, so multiply as needed. Use within 1 week.",Dirty Habit,San Francisco
Nectar of the Amazon," Ypioca Cachaca Prata*, Passion fruit juice, Condensed milk","Shaken, poured over fresh ice in highball. Garnish with macadamia nut. Coconut shaved rim.",LARK on the Park,Dallas
Thyme for Bed," Chamucos Blanco Tequila,  Luxardo Sangue Morlacco Cherry Liqueur,  Thyme Simple Syrup,  Lime Juice",Shaken.,Skyfall Lounge,Las Vegas
Mott and Mulberry," Luxardo Amaro Abano, Old Overholt Rye,  Demerara Simple Syrup (1:1),  Lemon Juice,  Fuji Apple Cider",Shaker and strain into a rocks glass with fresh ice. Garnish with an Apple Fan.,Eleven Madison Park,New York
Carrier Pigeon (an Airmail with Pink Pigeon)," Pink Pigeon Rum,  Lime juice,  Honey",Short shake-strain into champagne flute- top with champagne.  Drop a Luxardo cherry into the flute. ,,Los Angeles
The King's Mulled Wine,"1 bottle Red Wine, .3 bottle King's Ginger Liqueur, 3 Tbsp Caster Sugar, 2  Lemons, zested (plus flesh of one lemon), 1  Orange, zested, 1 stick Cinnamon, Nutmeg, 1  Star Anise","Simmer over low heat for 3 hours, double strain with fine sieve.",,
Tea & Sympathy," Avua Amburana Cachaça, King's Ginger Liqueur,  Fresh Squeezed Lemon Juice, Chai Tea","Soak 1 chai tea bag in half mug of hot water for 30 seconds, remove the tea bag, add all the ingredients, add more hot water.   Lemon wheel stuffed with 4-5 cloves for garnish.",Highlands,New York
Huntsman," Pink Pigeon Rum, 1 cube Brown Sugar",Soak brown sugar cube in Angostura and Orange bitters. Muddle soaked sugar cube into a paste in a rocks glass. Pour 2 oz. Pink Pigeon. Add ice and stir. Garnish with an orange peel and Luxardo Cherry. ,,
The Callas Cocktail," Luxardo Bitter Bianco,  No.3 London Dry Gin, Pomegranate Cordial*, Brachetto, 1  Sugar Cube, Tempus Fugit Abbott's Bitters","Soak cube in 8 dashes Abbott's Bitter. Drop sugar cube into bottom of flute glass. Stir, Luxardo, gin, and pomegranate cordial. Strain into flute glass. Top with Brachetto. Garnish with small rose, dipped in rose flower water.  *Pomegranate Cordial: -- 48 oz Pomegranate Juice -- 2.5 lbs White Sugar -- 1 lb Turbinado Sugar -- 8 Course Cracked Black Peppercorns -- 2 Cloves -- 5 Allspice Berries -- 1 Tbsp Pomegranate Molasses -- 1 oz Orange Flower Water  Mix all ingredients together in large saucepan. Stir on medium heat until all sugar is dissolved. Strain of spices. Bottle.",,Houston
Mauritian Buck," Pink Pigeon Rum, Pressed apple juice,   Ginger ale,   Absinthe,   Lemon zest","Spray a rocks glass with absinthe, build all other ingredients over cubed ice, garnish with a lemon wheel.",,
The Cavalier White Lady," Junipero Gin,  Creole Shrub,  Lemon juice,  Lemon bitters,  Simple syrup, 1  Egg white",Spray of Lemon Verbana oil on the Martini glass. Combine all other ingredients and dry shake for 20 seconds. Add ice to the mixing tin and shake again. Double strain into a Martini glass. Garnish with fresh lemon verbena. Served in a martini.  ,The Cavalier,San Francisco
